"","group","pseudotime_bin_num","features","value","Geno","new_group"
"183","Kbk.3m.DMSO_PEG",14,"stage2_DAM2",0.475672559664749,"Kbk","Kbk.3m
(PEG)"
"184","Kbk.3m.DMSO_PEG",15,"homeostatic3",2.89430265117663,"Kbk","Kbk.3m
(PEG)"
"185","Kbk.3m.DMSO_PEG",15,"stage1_DAM1",1.48819219034457,"Kbk","Kbk.3m
(PEG)"
"186","Kbk.3m.DMSO_PEG",15,"stage2_DAM2",0.49882353839181,"Kbk","Kbk.3m
(PEG)"
"187","Kbk.3m.DMSO_PEG",16,"homeostatic3",2.8845820642975,"Kbk","Kbk.3m
(PEG)"
"188","Kbk.3m.DMSO_PEG",16,"stage1_DAM1",1.71615728501612,"Kbk","Kbk.3m
(PEG)"
"189","Kbk.3m.DMSO_PEG",16,"stage2_DAM2",0.528978994570501,"Kbk","Kbk.3m
(PEG)"
"190","Kbk.3m.DMSO_PEG",17,"homeostatic3",2.8897045749067,"Kbk","Kbk.3m
(PEG)"
"191","Kbk.3m.DMSO_PEG",17,"stage1_DAM1",1.49378133852862,"Kbk","Kbk.3m
(PEG)"
"192","Kbk.3m.DMSO_PEG",17,"stage2_DAM2",0.501912603084451,"Kbk","Kbk.3m
(PEG)"
"193","Kbk.3m.DMSO_PEG",18,"homeostatic3",2.8843182069621,"Kbk","Kbk.3m
(PEG)"
"194","Kbk.3m.DMSO_PEG",18,"stage1_DAM1",1.42812550226105,"Kbk","Kbk.3m
(PEG)"
"195","Kbk.3m.DMSO_PEG",18,"stage2_DAM2",0.488697291429547,"Kbk","Kbk.3m
(PEG)"
"196","Kbk.3m.DMSO_PEG",19,"homeostatic3",2.9133017402516,"Kbk","Kbk.3m
(PEG)"
"197","Kbk.3m.DMSO_PEG",19,"stage1_DAM1",1.43233880060497,"Kbk","Kbk.3m
(PEG)"
"198","Kbk.3m.DMSO_PEG",19,"stage2_DAM2",0.513991614511675,"Kbk","Kbk.3m
(PEG)"
"199","Kbk.3m.DMSO_PEG",20,"homeostatic3",2.90262057396104,"Kbk","Kbk.3m
(PEG)"
"200","Kbk.3m.DMSO_PEG",20,"stage1_DAM1",1.46735264706199,"Kbk","Kbk.3m
(PEG)"
"201","Kbk.3m.DMSO_PEG",20,"stage2_DAM2",0.533725912947936,"Kbk","Kbk.3m
(PEG)"
"202","Kbk.3m.DMSO_PEG",21,"homeostatic3",2.89722483152987,"Kbk","Kbk.3m
(PEG)"
"203","Kbk.3m.DMSO_PEG",21,"stage1_DAM1",1.45289239682476,"Kbk","Kbk.3m
(PEG)"
